tweet_id,username,text,sentiment,created_at,likes,retweets
270570053727968379,globetrotter,Extremely disappointed with the shipping delay. Still haven't received my order.,negative,2026-06-17 03:55:54,71,25
946975409476939743,gamer_girl,@globetrotter So grateful for all the support from my followers. You guys are the best! ❤️ Check details: https://t.co/508930,positive,2026-05-22 11:44:54,57,7
385815715992838551,ai_enthusiast,The new updates are incredible. Performance is smoother and the UI looks stunning. 😍,positive,2026-06-04 08:50:54,172,39
966003313772347361,daily_scribe,Feeling extremely productive today. Got so much done using the new X App app!,positive,2026-06-08 22:26:54,56,14
192362230204533858,tech_guru,Really happy with how this project turned out. Big thanks to everyone involved!,positive,2026-05-22 09:08:54,6,1
230523392599404104,cryptorider,Incredible performance by the engineers. Resolved the issue within minutes!,positive,2026-05-25 09:43:54,9,1
249801721367616107,cryptorider,The service was incredibly slow. Waited 45 minutes just to get cold food. Check details: https://t.co/538738,negative,2026-06-03 02:14:54,169,57
904892442100794716,code_ninja,The presentation was so boring. Almost fell asleep. 😴,negative,2026-05-22 02:48:54,125,22
190117547149923167,design_pro,@cryptorider Customer service was extremely rude and unhelpful. Disappointed. #worstservice,negative,2026-05-23 19:03:54,141,19
990797852323268729,coffee_lover,Taking a short break from coding. Back in 10 minutes.,neutral,2026-05-28 10:01:54,62,7
512201026559614398,code_ninja,@tech_guru Really happy with how this project turned out. Big thanks to everyone involved! Check details: https://t.co/245117,positive,2026-05-28 05:08:54,25,3
725152957381132402,design_pro,This movie was a major letdown. The plot was weak and acting was mediocre. 1/10,negative,2026-06-09 05:57:54,47,18
889713355422143916,coffee_lover,@cryptorider Extremely laggy experience on X App. It makes my device overheat.,negative,2026-05-30 19:44:54,9,3
718990888013138314,ai_enthusiast,@design_pro So grateful for all the support from my followers. You guys are the best! ❤️ Check details: https://t.co/888870,positive,2026-05-27 22:42:54,27,4
809063507689934211,design_pro,The meeting has been rescheduled to 3 PM. Please check your emails.,neutral,2026-05-27 13:00:54,183,63
556010763314892470,tech_guru,"The package arrived today. Standard packaging, intact.",neutral,2026-06-12 19:25:54,35,10
563931272466322115,daily_scribe,"@ai_enthusiast This product is way overpriced for the quality. Save your money, don't buy it. Check details: https://t.co/993749",negative,2026-06-12 19:54:54,28,8
871329773245541622,gamer_girl,@tech_guru Had a great workout session. Health is wealth! 💪 #fitness Check details: https://t.co/193326,positive,2026-05-20 21:25:54,224,52
795455240682937480,ai_enthusiast,"Super clean codebase, very easy to integrate and start building. Great developer experience!",positive,2026-05-30 20:59:54,75,21
203323487186786730,cryptorider,Congrats to the team on a successful release! Hard work really pays off. 🎉 #achievement,positive,2026-06-02 12:12:54,182,29
225984422104164584,daily_scribe,Flights have been delayed due to low visibility. Standard protocol.,neutral,2026-05-20 01:23:54,3,0
226473547025970383,tech_guru,@coffee_lover Really frustrated with the network downtime. I lost hours of work today. 😭 #frustrated,negative,2026-06-18 02:43:54,121,38
666831511867602804,cryptorider,Had an amazing experience with the customer service today. Super helpful and friendly! 🌟,positive,2026-06-03 20:14:54,2,0
101154139496309450,cryptorider,So tired of these endless bugs. Does anybody even test this software before release?,negative,2026-06-05 07:50:54,12,4
344197731548850431,design_pro,So grateful for all the support from my followers. You guys are the best! ❤️,positive,2026-06-08 15:20:54,6,0
550783737482527668,ai_enthusiast,"Super clean codebase, very easy to integrate and start building. Great developer experience! Check details: https://t.co/263917",positive,2026-06-01 18:10:54,81,17
121581477112636215,ai_enthusiast,Does anyone know if the office is open tomorrow? Thanks.,neutral,2026-06-11 00:52:54,124,41
203858577742360922,tech_guru,This movie was a major letdown. The plot was weak and acting was mediocre. 1/10,negative,2026-06-04 05:42:54,150,39
746198193621248570,daily_scribe,Just finished watching the new movie. It was absolutely brilliant! 10/10 recommend.,positive,2026-06-03 14:48:54,640,208
579189262808498013,ai_enthusiast,Congrats to the team on a successful release! Hard work really pays off. 🎉 #achievement,positive,2026-06-03 11:35:54,148,18
946605769534498809,code_ninja,@fit_life I regret buying this. It stopped working after just two days of use. Avoid! #scam,negative,2026-05-25 03:31:54,533,82
812829003725933338,code_ninja,@design_pro Incredible performance by the engineers. Resolved the issue within minutes!,positive,2026-06-08 14:00:54,28,5
